date,open,high,low,close,volume,change_ratio
20140319,55000,55500,54800,54900,64301,
20140320,54700,55000,53400,53400,122097,-2.73224043715847
20140321,53400,53900,52900,53300,90748,-0.18726591760299627
20140324,53000,55500,52900,54300,141465,1.876172607879925
20140325,53800,54600,53500,54000,70527,-0.5524861878453038
20140326,54000,54600,53500,53800,86816,-0.3703703703703704
20140327,53500,54100,52400,52700,111174,-2.0446096654275094
20140328,52500,52900,52300,52500,76238,-0.3795066413662239
20140331,52500,52900,51500,51600,106222,-1.7142857142857144
20140401,51400,52500,51400,52300,71597,1.3565891472868217
20140402,52500,54300,52400,53000,152728,1.338432122370937
20140403,53100,53800,52500,52500,59916,-0.9433962264150944
20140404,52100,53700,52100,53400,60948,1.7142857142857144
20140407,53100,53300,52200,52400,67537,-1.8726591760299627
20140408,52900,56200,52900,53500,294330,2.099236641221374
20140409,53600,54400,53000,53000,81225,-0.9345794392523363
20140410,52900,54000,52100,52300,142497,-1.3207547169811322
20140411,52100,53400,52100,52800,91583,0.9560229445506693
20140414,52800,53300,52700,52800,51525,0.0
20140415,52800,53100,52500,52500,53703,-0.5681818181818182
20140416,52600,53100,52300,52700,46779,0.38095238095238093
20140417,52800,53500,52500,52900,60093,0.3795066413662239
20140418,52900,53300,52800,53100,39833,0.3780718336483932
20140421,53300,54200,53200,53400,101131,0.5649717514124294
20140422,53400,53800,52900,52900,58582,-0.9363295880149813
20140423,52900,53300,52800,52900,59413,0.0
20140424,52900,53100,52100,52400,47934,-0.945179584120983
20140425,52400,52900,52100,52200,37814,-0.38167938931297707
20140428,52400,54200,51800,52400,98469,0.38314176245210724
20140429,52700,53000,52200,52500,39142,0.19083969465648853
20140430,52500,54400,52500,53100,149060,1.1428571428571428
20140502,53000,53600,52500,53000,45167,-0.18832391713747645
20140507,53000,53300,51900,51900,68019,-2.0754716981132075
20140508,51700,51900,50200,50500,98001,-2.697495183044316
20140509,50000,50800,50000,50500,48498,0.0
20140512,50600,50700,49750,49900,67851,-1.188118811881188
20140513,49500,50100,49200,50100,78773,0.4008016032064128
20140514,49750,50300,49550,49700,80621,-0.7984031936127743
20140515,49700,51900,49700,50500,105850,1.6096579476861168
20140516,50700,50800,49900,49900,43489,-1.188118811881188
20140519,49850,50200,49050,49050,74080,-1.7034068136272544
20140520,48000,48900,47700,47950,117136,-2.2426095820591234
20140521,47650,49050,47650,48750,68653,1.6684045881126173
20140522,48650,51700,48650,50400,181961,3.3846153846153846
20140523,50800,51400,50100,50400,53370,0.0
20140526,50600,50700,49250,49250,65688,-2.2817460317460316
20140527,49000,49150,47500,48250,106873,-2.030456852791878
20140528,48250,48600,48200,48400,38558,0.31088082901554404
20140529,48300,48400,47850,48000,55989,-0.8264462809917356
20140530,47800,49250,47800,49050,92704,2.1875
20140602,49300,49900,48050,48200,91601,-1.7329255861365953
20140603,47800,49600,47800,49500,120533,2.6970954356846475
20140605,49650,50300,46600,46650,245602,-5.757575757575758
20140609,45800,46000,43650,44350,180621,-4.930332261521972
20140610,43800,45200,43800,44650,65807,0.6764374295377678
20140611,44600,45200,44600,45000,36383,0.7838745800671892
20140612,44850,45000,44000,44000,66080,-2.2222222222222223
20140613,43600,44450,43600,43600,46728,-0.9090909090909091
20140616,43700,44000,43200,43600,41691,0.0
20140617,43500,43900,43250,43400,38150,-0.45871559633027525
20140618,43400,43700,42750,43050,55166,-0.8064516129032258
20140619,43150,43350,42800,42800,41754,-0.5807200929152149
20140620,42700,43200,42700,42800,39291,0.0
20140623,42550,42950,41800,41850,51342,-2.219626168224299
20140624,41800,41850,40000,40750,109015,-2.6284348864994027
20140625,41200,42850,41050,42100,144543,3.3128834355828225
20140626,42000,42500,41550,41600,46596,-1.187648456057007
20140627,41600,42400,41550,41850,31890,0.6009615384615385
20140630,42400,42850,42100,42350,39062,1.1947431302270013
20140701,42550,43050,42350,42800,35334,1.062573789846517
20140702,43400,44700,43200,43200,113816,0.9345794392523363
20140703,42950,43300,42650,42650,35215,-1.2731481481481481
20140704,42700,43600,42650,42750,30513,0.23446658851113714
20140707,42750,42750,41650,41800,42107,-2.2222222222222223
20140708,41800,42000,41200,41350,40066,-1.076555023923445
20140709,41350,41400,40800,40950,41268,-0.9673518742442563
20140710,40800,41300,40700,40700,44286,-0.6105006105006106
20140711,40600,40600,39900,40200,57518,-1.2285012285012284
20140714,40200,40800,40150,40200,32061,0.0
20140715,40150,40700,40150,40450,28368,0.6218905472636816
20140716,40450,40450,40000,40150,45620,-0.7416563658838072
20140717,40200,40450,40000,40250,33787,0.24906600249066002
20140718,40300,40350,40050,40150,29024,-0.2484472049689441
20140721,40150,41250,40000,40150,58604,0.0
20140722,40000,40400,40000,40150,29768,0.0
20140723,40400,40450,40100,40150,42013,0.0
20140724,41050,44400,41050,41500,427076,3.3623910336239105
20140725,42050,42350,41350,41350,78737,-0.3614457831325301
20140728,41350,41350,40500,40500,80152,-2.0556227327690446
20140729,40100,41550,40100,40600,95375,0.24691358024691357
20140730,40650,41050,40400,40700,52959,0.24630541871921183
20140731,38500,39300,38300,38950,201746,-4.2997542997543
20140801,38300,39500,38200,38550,75964,-1.0269576379974326
20140804,38300,39150,38250,38850,80700,0.7782101167315175
20140805,38900,39250,38700,38850,50227,0.0
20140806,38600,38900,37800,37850,84859,-2.574002574002574
20140807,37850,38250,37100,37150,83081,-1.8494055482166447
20140808,37000,37200,36200,36600,92659,-1.4804845222072678
20140811,36300,37450,36300,37050,62076,1.2295081967213115
20140812,37050,38150,37050,37900,73575,2.2941970310391366
20140813,37700,37950,37450,37800,44754,-0.2638522427440633
20140814,37750,38750,37750,38250,44659,1.1904761904761905
20140818,38050,38550,37900,38000,32673,-0.6535947712418301
20140819,38000,38100,37500,37600,39728,-1.0526315789473684
20140820,37500,37850,37250,37400,39230,-0.5319148936170213
20140821,37100,37600,36200,37200,52240,-0.53475935828877
20140822,36650,37200,36650,36750,41828,-1.2096774193548387
20140825,36600,36950,36300,36300,44979,-1.2244897959183674
20140826,36300,36400,35850,36000,50406,-0.8264462809917356
20140827,36000,39850,36000,37800,271236,5.0
20140828,37850,38450,37200,37600,92853,-0.5291005291005291
20140829,38000,38250,37450,37600,62173,0.0
20140901,37200,37550,36700,37100,53798,-1.3297872340425532
20140902,36850,37100,36700,36750,33223,-0.9433962264150944
20140903,36250,38850,36250,37450,131134,1.9047619047619049
20140904,37500,38500,37450,37450,61235,0.0
20140905,37400,37950,37100,37300,29238,-0.4005340453938585
20140911,37350,38050,37300,37900,49736,1.6085790884718498
20140912,37950,38450,37600,38000,71030,0.2638522427440633
20140915,38300,38950,37900,38350,82516,0.9210526315789472
20140916,38250,38750,38250,38300,65327,-0.1303780964797914
20140917,38200,39050,37900,38500,67235,0.5221932114882507
20140918,38450,39900,38450,39000,120263,1.2987012987012987
20140919,39450,39900,38800,39400,86644,1.0256410256410255
20140922,39650,39650,38800,38850,44097,-1.3959390862944163
20140923,38500,39100,38400,38650,35948,-0.5148005148005148
20140924,38650,39000,38350,38500,30418,-0.38809831824062097
20140925,38550,39400,38550,39300,65601,2.0779220779220777
20140926,39050,40000,38600,38600,93514,-1.7811704834605597
20140929,38650,39000,37250,37700,53819,-2.33160621761658
20140930,37750,38100,37000,37150,48467,-1.4588859416445623
20141001,37150,37200,36000,36400,72717,-2.0188425302826376
20141002,36000,37000,35650,36900,49098,1.3736263736263736
20141006,36900,37150,36150,36150,47092,-2.0325203252032518
20141007,36100,36450,35950,36150,28665,0.0
20141008,36000,36650,36000,36400,26847,0.6915629322268326
20141010,36050,36450,34950,35200,68365,-3.296703296703297
20141013,35100,35100,33150,33300,81500,-5.3977272727272725
20141014,33000,34150,33000,33400,52243,0.3003003003003003
20141015,33450,33850,33300,33350,35598,-0.14970059880239522
20141016,33350,34150,33300,33700,71610,1.0494752623688157
20141017,33700,34450,33700,33850,44984,0.44510385756676557
20141020,33900,36600,33900,35800,129771,5.760709010339734
20141021,35800,36250,35050,35250,64022,-1.536312849162011
20141022,35650,36200,35250,36200,53893,2.6950354609929077
20141023,37400,39250,36350,36350,290299,0.4143646408839779
20141024,36400,37700,36400,36550,66675,0.5502063273727648
20141027,36800,37000,35600,35800,48381,-2.0519835841313268
20141028,35350,36500,35350,36000,44438,0.5586592178770949
20141029,36700,37050,36200,36650,42794,1.8055555555555554
20141030,36500,36850,35900,35950,37059,-1.9099590723055935
20141031,36350,36350,35800,36100,25689,0.4172461752433936
20141103,36150,36350,34750,35000,48315,-3.0470914127423825
20141104,35200,35250,33700,33850,62891,-3.2857142857142856
20141105,33600,34550,33600,34000,21500,0.4431314623338257
20141106,34050,34450,33500,33900,34266,-0.29411764705882354
20141107,34200,34750,34000,34650,29044,2.2123893805309733
20141110,34650,35300,34300,34950,29145,0.8658008658008658
20141111,34800,35400,34600,35200,41820,0.7153075822603719
20141112,35250,36250,35250,35450,55000,0.7102272727272727
20141113,35150,36250,35100,35500,41802,0.14104372355430184
20141114,35750,35750,34950,35000,33692,-1.4084507042253522
20141117,35250,35350,34250,34300,35992,-2.0
20141118,34300,35200,34300,34950,29222,1.8950437317784257
20141119,34900,35250,34550,34750,16345,-0.5722460658082975
20141120,34600,34950,34350,34400,30464,-1.0071942446043165
20141121,34500,34750,34300,34500,24735,0.29069767441860467
20141124,34700,37700,34700,36600,347239,6.086956521739131
20141125,36350,37200,35900,36600,91870,0.0
20141126,37200,37200,36300,36500,60866,-0.273224043715847
20141127,36450,36850,36300,36450,38123,-0.136986301369863
20141128,36450,37950,36450,37500,131070,2.880658436213992
20141201,37500,37500,36550,36600,54038,-2.4
20141202,36150,36650,35100,35800,49519,-2.185792349726776
20141203,35800,37050,35800,36950,52352,3.212290502793296
20141204,37400,37450,36700,36900,42023,-0.13531799729364005
20141205,36900,37850,36750,37700,79992,2.168021680216802
20141208,37750,38550,37500,38100,86912,1.0610079575596816
20141209,38400,38750,37350,37600,89671,-1.3123359580052494
20141210,37600,37650,36900,37300,45691,-0.7978723404255319
20141211,36900,37350,36450,37000,58754,-0.8042895442359249
20141212,36500,37000,36100,36200,64604,-2.1621621621621623
20141215,35700,36050,35300,35850,41236,-0.9668508287292817
20141216,35500,36300,35500,35600,35587,-0.697350069735007
20141217,35750,36600,35750,36400,41102,2.247191011235955
20141218,36650,36750,35750,35850,52158,-1.510989010989011
20141219,36250,36600,35300,35300,53361,-1.5341701534170153
20141222,36300,38000,36000,36800,190651,4.2492917847025495
20141223,37400,39300,37150,37700,255118,2.4456521739130435
20141224,38600,38650,36800,37250,120626,-1.1936339522546418
20141226,37200,37650,36500,36800,85520,-1.2080536912751678
20141229,36650,36850,35900,35900,70091,-2.4456521739130435
20141230,35700,36450,35650,36000,57141,0.2785515320334262
20150102,36000,36200,35400,35900,42121,-0.2777777777777778
20150105,35650,37250,35550,37250,118189,3.7604456824512535
20150106,37400,39800,37150,39700,366508,6.577181208053691
20150107,40300,43500,40000,42300,625909,6.54911838790932
20150108,42250,42300,40750,41900,221156,-0.9456264775413712
20150109,41950,44000,41950,42100,333601,0.47732696897374705
20150112,42000,43700,41750,42350,162578,0.5938242280285035
20150113,43250,43800,41450,41450,229328,-2.125147579693034
20150114,41600,42650,41600,42250,118656,1.9300361881785282
20150115,42350,44400,42250,44250,284387,4.733727810650888
20150116,44950,44950,43250,43700,187082,-1.2429378531073447
20150119,45500,45700,44200,44750,201732,2.402745995423341
20150120,44750,44750,43500,44150,123810,-1.3407821229050279
20150121,44550,45400,44000,44500,185832,0.7927519818799547
20150122,44650,45350,43200,43700,160783,-1.7977528089887642
20150123,44150,44700,43700,44200,107615,1.1441647597254003
20150126,44150,44150,43050,43650,79987,-1.244343891402715
20150127,44000,44500,42600,42950,99266,-1.6036655211912942
20150128,42800,44100,42750,43650,113757,1.629802095459837
20150129,43900,44050,43400,43750,67715,0.22909507445589922
20150130,44250,46150,44100,45200,324494,3.314285714285714
20150202,45350,45500,44000,44450,108457,-1.6592920353982303
20150203,45050,47900,44700,47000,425612,5.736782902137233
20150204,47300,47300,46100,46150,126615,-1.8085106382978722
20150205,46800,46950,45200,45800,119998,-0.7583965330444203
20150206,46000,46950,45400,46100,91958,0.6550218340611353
20150209,46200,46200,43650,43750,171029,-5.097613882863341
20150210,43700,44600,41400,42900,110177,-1.9428571428571426
20150211,42600,43900,42550,43650,77652,1.7482517482517483
20150212,43500,44500,42800,43200,62698,-1.0309278350515463
20150213,43500,43950,43300,43750,58802,1.2731481481481481
20150216,44200,46000,44100,45500,165716,4.0
20150217,45600,45600,44650,45200,65275,-0.6593406593406593
20150223,45800,46100,45050,45500,68290,0.6637168141592921
20150224,45800,47100,45750,46850,153895,2.9670329670329667
20150225,47900,49800,47600,47650,372831,1.7075773745997866
